power,speedup,nthreads
107.372,1.0,1
113.19,1.47019,4
115.306,1.49759,5
116.128,1.55008,6
117.615,1.95106,8
118.34,2.07572,9
119.79,2.25095,12
123.377,2.40722,17
123.744,2.51428,20
126.615,2.60143,23
138.448,2.60155,32
141.778,2.70163,34
147.309,2.7163,39
147.833,2.76782,41
