power,speedup,nthreads
111.523,1.0,1
117.249,3.18561,4
118.556,3.71724,5
118.812,4.18179,6
122.326,4.89262,7
123.742,5.43652,8
123.932,6.19397,10
124.431,11.6819,18
128.12,13.1705,20
130.423,14.5353,25
139.127,15.3248,30
140.141,15.4681,31
141.549,16.3745,33
146.014,17.4219,37
147.914,18.0931,40
155.276,18.1023,45
155.37,19.0918,47
158.791,19.3359,50
172.502,22.5487,99
