power,speedup,nthreads
113.402,1.0,1
123.341,3.52794,4
124.991,4.20937,5
126.682,4.82954,6
129.563,5.34462,7
132.669,5.83181,8
135.457,6.40029,9
136.802,7.2947,11
137.235,8.88595,16
143.108,10.2181,22
152.454,10.8579,24
153.985,12.4587,26
155.417,12.9122,27
155.887,19.9143,32
156.895,20.2439,34
157.944,22.8282,35
158.111,24.8528,38
159.315,26.5831,42
161.894,27.8458,39
163.21,28.9277,45
163.593,30.7665,46
166.868,38.1602,48
180.968,38.68,105
181.317,43.3391,112
183.271,45.0735,113
