nthreads,energy,time,power,speedup
1,106.159911697,0.9795712,108.3738596,1.0
2,99.797501674,0.917074066667,108.821637533,0.600645487667
3,98.0375837687,0.8950782,109.529629667,0.615405894144
4,35.335162864,0.312420533333,113.101282067,1.76312483089
5,34.7359357837,0.305039666667,113.873504267,1.80578613273
6,37.3431015382,0.328781733333,113.5802198,1.67538626436
7,35.0185299563,0.306218133333,114.358119733,1.79883664629
8,21.2429752304,0.179616533333,118.268484733,3.06673550468
9,21.0800692115,0.1772608,118.9212122,3.1074913348
10,21.0010260983,0.175615666667,119.585151467,3.1366017079
11,20.6526792788,0.172695266667,119.590303067,3.18964387752
12,16.0545455002,0.131136666667,122.4260606,4.20047583946
13,16.1665488139,0.131691666667,122.760606067,4.18277339746
14,16.3835072386,0.132461066667,123.685454533,4.15847776152
15,16.2955485376,0.131877866667,123.565454533,4.17686768768
16,11.963074462,0.0939624,127.317676667,5.86230662478
17,12.7621364662,0.100157,127.4213132,5.4997294248
18,12.1604609019,0.0949788666667,128.0333334,5.79956804426
19,12.0161126747,0.0932018,128.9257576,5.91014765809
20,11.6073934563,0.0891882666667,130.144848533,6.17610836702
21,11.6436783253,0.0885642666667,131.471515133,6.21962356526
22,11.6178283841,0.0876853333333,132.494545467,6.28196733775
23,11.4938568581,0.0873928666667,131.519393933,6.30299040425
24,10.6750016123,0.0791629333333,134.8484848,6.95826161065
25,11.1397350281,0.0815095333333,136.667878867,6.75793833523
26,10.7572966178,0.0792688,135.706565733,6.94896857275
27,10.8975298085,0.0797990666667,136.562121133,6.90279251386
28,10.6471029386,0.0763084,139.527272733,7.21855523114
29,10.7234781169,0.0769192666667,139.412121067,7.16122791949
30,11.0338018498,0.0777227333333,141.963636333,7.08719799698
31,10.815174839,0.0768275333333,140.772121267,7.16977854294
32,9.24315067596,0.0633082,146.002424267,8.70086971356
33,9.82624635351,0.0677092,145.1242424,8.13532577552
34,9.76159572788,0.0666883333333,146.3763636,8.259861545
35,9.61264392431,0.0664599333333,144.638181867,8.2882478566
36,9.45687370143,0.063786,148.259393933,8.63569435299
37,9.61363834732,0.0648608666667,148.219393933,8.49258464015
38,9.68754965847,0.0652549333333,148.456969667,8.44129894649
39,9.75676188127,0.0655189333333,148.915151467,8.4072858329
40,9.5755559531,0.0630939333333,151.766666733,8.73041782147
41,9.87180166358,0.065113,151.610303067,8.459699292
42,9.82994715957,0.0646975333333,151.936969667,8.51402474901
43,9.98493970455,0.0657774666667,151.7987878,8.37424163493
44,9.434153388,0.0606386,155.58,9.0839234415
45,9.7786325442,0.0633209333333,154.429696933,8.69912003824
46,9.77867463705,0.0631116666667,154.942424333,8.72796471862
47,9.80167204775,0.0631902666667,155.1136364,8.71710833103
48,9.29510937212,0.0586875333333,158.383030333,9.38591841765
49,10.0070948271,0.0635207333333,157.540606067,8.67175756787
50,9.81993612759,0.0621748666667,157.940606133,8.85947054705
51,9.87070311733,0.0623098,158.413333333,8.84028515579
52,9.52280458457,0.0589702666667,161.4848486,9.34091756976
53,10.3068402228,0.0642415333333,160.4388888,8.57445909863
54,10.2406364023,0.0635855333333,161.052929267,8.66292018205
55,10.3409750815,0.0641686666667,161.153030267,8.58419581727
56,9.80845452186,0.0596236666667,164.5060606,9.23855292362
57,11.8537135282,0.0750354,157.974949533,7.34102037172
58,11.7733419182,0.0741960666667,158.6787878,7.42406470783
59,11.860580135,0.0747258666667,158.721212133,7.37142872437
60,8.83251481148,0.0509089333333,173.496363667,10.8200342049
61,10.9460957132,0.0667398,164.011515067,8.25349191936
62,11.0835136186,0.0676131333333,163.9254546,8.14688467822
63,10.9176973309,0.0664914666667,164.1969696,8.28431718556
64,9.03255803947,0.0522406,172.9030302,10.5442203956
65,11.1254680756,0.0675613333333,164.672121267,8.15313098222
66,10.9512796843,0.0661314,165.598787933,8.32942293676
67,11.0193619455,0.0668336,164.877575733,8.24190826171
68,7.76413082251,0.0438780666667,176.9478788,12.553798329
69,9.88950814717,0.0593806666667,166.544242467,9.27635930887
70,9.67050528791,0.0576587333333,167.719697067,9.55339058206
71,9.6966683841,0.0579591333333,167.301818133,9.50387571933
72,7.51182629567,0.0421656666667,178.150303067,13.0636236432
73,9.49442474073,0.0566804666667,167.5078788,9.71827566698
74,9.3426473054,0.0554033333333,168.629696867,9.94229709404
75,9.10481158029,0.0541970666667,167.994545467,10.163583269
76,7.53759948265,0.0423716,177.892727267,13.000132164
77,9.02718107075,0.0532611333333,169.489090933,10.3421832305
78,8.70541512427,0.0513494666667,169.5327272,10.7272078126
79,8.82808252631,0.0520689333333,169.5460606,10.5789837574
80,7.41354016799,0.0415390666667,178.4715152,13.260683116
81,8.75318233574,0.0514957333333,169.978787933,10.6967386295
82,9.23363329613,0.0544338666667,169.630303,10.1193693142
83,8.87866734356,0.0524505333333,169.276969733,10.5020171387
84,7.22344302984,0.040483,178.4315152,13.6066101821
85,8.79431876892,0.0522113333333,168.436969667,10.5501308784
86,8.33101840596,0.0486709333333,171.170303,11.3175639396
87,8.23548819424,0.0488094666667,168.727272733,11.2854418952
88,7.08224516023,0.0394622,179.469090933,13.9585831505
89,8.04875466118,0.0470354,171.121212133,11.7111027014
90,8.005223704,0.0466831333333,171.48,11.7994736143
91,8.069842314,0.0476616666667,169.315151533,11.5572206875
92,7.01228912187,0.0386806666667,181.2866666,14.2406128815
93,8.30263696895,0.0481361333333,172.4824242,11.4433038521
94,7.98438982123,0.0463089333333,172.415757533,11.8948194301
95,8.09694444053,0.0466927333333,173.409090933,11.7970476491
96,6.77162534319,0.0374273333333,180.927272667,14.7174898915
97,7.85097114709,0.0454798,172.625454533,12.1116715553
98,8.04983478578,0.0466296666667,172.633333267,11.8130031668
99,7.75252243421,0.0442679333333,175.127272733,12.443237317
100,6.93298584269,0.0382176666667,181.4078788,14.4131352865
101,7.82081520885,0.045025,173.699393867,12.2340122154
102,7.86670002692,0.0446553333333,176.1648484,12.3352880582
103,7.74050911116,0.0442210666667,175.041212133,12.456424992
104,7.40672548272,0.040759,181.720000067,13.5144728772
105,8.10003400039,0.0459214,176.389090933,11.9952004948
