nthreads,energy,time,power
212,329.1,1.97589,166.558
213,328.35,1.97623,166.15
214,328.8,1.97808,166.222
215,322.3,1.97133,163.494
216,318.45,1.94958,163.343
217,329.15,1.97565,166.603
218,316.85,1.95561,162.021
219,322.55,1.94831,165.554
220,328.75,1.97096,166.797
221,330.7,1.97071,167.808
222,326.55,1.98656,164.38
223,327.65,1.97821,165.63
224,325.35,1.98152,164.192
225,311.15,1.91077,162.84
226,324.1,1.98296,163.443
227,311,1.90105,163.594
228,333.1,2.04123,163.186
