power,speedup,nthreads
110.046,1.0,1
112.091,1.98479,2
112.836,3.11067,3
113.915,4.08312,4
115.444,5.11671,5
117.08,6.04026,6
117.76,7.01347,7
118.88,8.04453,8
120.286,8.95781,9
121.224,9.99163,10
122.526,11.2579,11
122.81,11.8498,12
124.32,13.0845,13
125.677,15.1356,15
127.108,16.2517,16
127.111,17.306,17
127.502,18.1749,18
128.054,18.6174,19
129.789,19.8681,20
129.848,20.9637,21
129.94,21.9047,22
130.913,24.0944,24
132.721,24.6324,25
133.334,26.0503,26
134.061,26.2393,27
135.945,29.9232,30
136.244,30.2581,31
137.788,32.2349,32
139.587,34.3799,36
141.223,35.4908,37
143.489,38.159,38
143.965,38.9799,39
145.724,40.4877,41
147.32,41.8824,42
148.287,43.9133,44
148.318,44.4571,45
150.017,44.6385,46
152.151,46.5721,48
152.164,46.8956,47
153.831,47.7202,50
154.227,48.1672,49
154.682,51.8994,52
155.56,52.05,53
156.256,76.1951,83
157.106,127.118,160
162.021,136.681,218
162.84,139.888,225
163.594,140.603,227
