power,speedup,nthreads
110.002,1.0,1
112.232,2.04129,2
112.905,2.94846,3
114.341,4.06366,4
115.691,4.9816,5
116.765,5.86913,6
117.928,6.86281,7
119.017,7.74767,8
120.013,8.90276,9
120.734,9.98808,10
122.287,11.0382,11
123.289,11.7185,12
124.073,12.9047,13
125.082,13.653,14
125.935,14.9015,15
126.318,15.9173,16
127.129,17.0168,17
127.585,17.3467,18
128.716,18.5226,19
129.583,20.8235,21
130.97,21.2179,22
131.75,23.1277,24
132.002,23.9834,25
134.072,25.7848,26
135.357,28.1715,29
136.238,29.4132,30
137.515,29.9416,31
138.351,31.605,32
139.49,34.3464,35
140.998,35.5012,36
143.31,39.4408,40
144.615,40.1111,41
146.835,40.5842,42
148.729,45.821,47
150.747,46.2066,48
152.154,48.1837,49
153.983,52.2217,55
154.952,65.2384,70
156.653,72.389,79
156.789,126.551,222
157.559,127.645,209
158.965,134.425,210
