power,speedup,nthreads
109.28,1.0,1
111.516,1.93126,2
112.631,2.97853,3
113.699,4.00307,4
114.658,4.831,5
116.009,5.81565,6
116.878,6.95806,7
118.097,7.69495,8
119.074,8.86317,9
120.263,9.6717,10
121.088,10.7461,11
122.429,11.9459,12
123.277,12.9143,13
125.736,14.8333,15
125.941,15.3789,16
127.007,16.8277,17
127.686,17.1148,18
128.655,19.1558,20
129.831,20.7378,21
131.101,23.6856,24
131.902,24.6823,25
133.183,24.7829,26
136.025,29.7222,31
137.419,31.4293,32
139.598,33.3594,34
140.312,34.1318,36
140.381,34.4158,35
140.647,35.13,37
141.829,36.9765,38
143.024,38.1145,39
144.672,38.6568,40
145.652,38.9317,41
146.734,39.6317,42
147.136,43.7904,46
147.309,45.7009,47
147.889,46.2306,48
148.773,123.532,200
