message=cataloging configuration,power_limit=5,max_threads=228,
message=Enough threads to go around,
message=Need to reduce workload to fit within power budget,available=5,sum_p=40,
message=Lowering power,name=trsm,old_threads=43,new_threads=41,delta_t=-0.062760,delta_p=-5.372000,
message=Lowering power,name=trsm,old_threads=41,new_threads=37,delta_t=0.642120,delta_p=-1.236000,
message=Lowering power,name=trsm,old_threads=37,new_threads=36,delta_t=0.184710,delta_p=-4.228000,
message=Lowering power,name=trsm,old_threads=36,new_threads=34,delta_t=0.165980,delta_p=-3.127000,
message=Lowering power,name=trsm,old_threads=34,new_threads=33,delta_t=0.677090,delta_p=-0.460000,
message=Lowering power,name=trsm,old_threads=33,new_threads=32,delta_t=-0.223990,delta_p=-1.818000,
message=Lowering power,name=trsm,old_threads=32,new_threads=31,delta_t=0.626290,delta_p=-1.125000,
message=Lowering power,name=trsm,old_threads=31,new_threads=30,delta_t=0.203360,delta_p=-2.021000,
message=Lowering power,name=trsm,old_threads=30,new_threads=29,delta_t=0.274890,delta_p=-0.710000,
message=Lowering power,name=trsm,old_threads=29,new_threads=27,delta_t=0.576700,delta_p=-4.035000,
message=Lowering power,name=trsm,old_threads=27,new_threads=26,delta_t=0.470100,delta_p=-2.436000,
message=Lowering power,name=trsm,old_threads=26,new_threads=25,delta_t=0.282300,delta_p=-5.371000,
message=Lowering power,name=trsm,old_threads=34,new_threads=33,delta_t=0.677090,delta_p=-0.460000,
message=Lowering power,name=trsm,old_threads=33,new_threads=32,delta_t=-0.223990,delta_p=-1.818000,
message=Lowering power,name=trsm,old_threads=32,new_threads=31,delta_t=0.626290,delta_p=-1.125000,
message=Lowering power,name=trsm,old_threads=31,new_threads=30,delta_t=0.203360,delta_p=-2.021000,
message=Lowering power,name=trsm,old_threads=30,new_threads=29,delta_t=0.274890,delta_p=-0.710000,
message=Lowering power,name=trsm,old_threads=29,new_threads=27,delta_t=0.576700,delta_p=-4.035000,
message=Lowering power,name=trsm,old_threads=27,new_threads=26,delta_t=0.470100,delta_p=-2.436000,
message=Lowering power,name=trsm,old_threads=26,new_threads=25,delta_t=0.282300,delta_p=-5.371000,
message=Lowering power,name=trsm,old_threads=34,new_threads=33,delta_t=0.677090,delta_p=-0.460000,
message=Lowering power,name=trsm,old_threads=33,new_threads=32,delta_t=-0.223990,delta_p=-1.818000,
message=Lowering power,name=trsm,old_threads=32,new_threads=31,delta_t=0.626290,delta_p=-1.125000,
message=Lowering power,name=trsm,old_threads=31,new_threads=30,delta_t=0.203360,delta_p=-2.021000,
message=Lowering power,name=trsm,old_threads=30,new_threads=29,delta_t=0.274890,delta_p=-0.710000,
message=Lowering power,name=trsm,old_threads=29,new_threads=27,delta_t=0.576700,delta_p=-4.035000,
message=Lowering power,name=trsm,old_threads=27,new_threads=26,delta_t=0.470100,delta_p=-2.436000,
message=Lowering power,name=trsm,old_threads=26,new_threads=25,delta_t=0.282300,delta_p=-5.371000,
message=Lowering power,name=trsm,old_threads=25,new_threads=23,delta_t=1.030200,delta_p=-2.880000,
message=Lowering power,name=trsm,old_threads=23,new_threads=20,delta_t=0.681900,delta_p=-0.360000,
message=Lowering power,name=trsm,old_threads=20,new_threads=19,delta_t=0.899000,delta_p=-0.106000,
message=Lowering power,name=trsm,old_threads=25,new_threads=23,delta_t=1.030200,delta_p=-2.880000,
message=Lowering power,name=trsm,old_threads=23,new_threads=20,delta_t=0.681900,delta_p=-0.360000,
message=Lowering power,name=trsm,old_threads=20,new_threads=19,delta_t=0.899000,delta_p=-0.106000,
message=Lowering power,name=trsm,old_threads=25,new_threads=23,delta_t=1.030200,delta_p=-2.880000,
message=Lowering power,name=trsm,old_threads=23,new_threads=20,delta_t=0.681900,delta_p=-0.360000,
message=Lowering power,name=trsm,old_threads=20,new_threads=19,delta_t=0.899000,delta_p=-0.106000,
message=Lowering power,name=trsm,old_threads=19,new_threads=17,delta_t=1.055300,delta_p=-5.014000,
message=Lowering power,name=trsm,old_threads=19,new_threads=17,delta_t=1.055300,delta_p=-5.014000,
message=Lowering power,name=trsm,old_threads=19,new_threads=17,delta_t=1.055300,delta_p=-5.014000,
message=Lowering power,name=trsm,old_threads=17,new_threads=14,delta_t=4.495400,delta_p=-0.602000,
message=Lowering power,name=trsm,old_threads=14,new_threads=13,delta_t=1.550800,delta_p=-2.799000,
message=Lowering power,name=trsm,old_threads=13,new_threads=12,delta_t=-1.298600,delta_p=-0.211000,
message=Lowering power,name=trsm,old_threads=12,new_threads=11,delta_t=3.101000,delta_p=-0.419000,
message=Lowering power,name=trsm,old_threads=17,new_threads=14,delta_t=4.495400,delta_p=-0.602000,
message=Lowering power,name=trsm,old_threads=14,new_threads=13,delta_t=1.550800,delta_p=-2.799000,
start_task=,name=trsm,tick=2,start_time=3278275.146674,nthreads=11,
start_task=,name=trsm,tick=2,start_time=3278275.146692,nthreads=13,
start_task=,name=trsm,tick=2,start_time=3278275.146713,nthreads=17,
end_task=,name=trsm,start_time=1468005455.973305,elapsed_seconds=0.157417,nthreads=13,released_listeners=3,
message=Enough threads to go around,
message=Need to reduce workload to fit within power budget,available=22,sum_p=68,
message=Lowering power,name=syrk,old_threads=147,new_threads=143,delta_t=0.342840,delta_p=-0.039000,
message=Lowering power,name=syrk,old_threads=143,new_threads=142,delta_t=-0.044690,delta_p=-1.452000,
message=Lowering power,name=syrk,old_threads=142,new_threads=133,delta_t=-0.157560,delta_p=-0.626000,
message=Lowering power,name=syrk,old_threads=133,new_threads=131,delta_t=-0.018230,delta_p=-0.260000,
message=Lowering power,name=syrk,old_threads=131,new_threads=130,delta_t=0.080400,delta_p=-1.695000,
message=Lowering power,name=syrk,old_threads=130,new_threads=93,delta_t=-0.025650,delta_p=-0.250000,
message=Lowering power,name=syrk,old_threads=93,new_threads=86,delta_t=0.028120,delta_p=-1.806000,
message=Lowering power,name=syrk,old_threads=86,new_threads=78,delta_t=0.084810,delta_p=-0.078000,
message=Lowering power,name=syrk,old_threads=78,new_threads=77,delta_t=-0.003720,delta_p=-0.510000,
message=Lowering power,name=syrk,old_threads=77,new_threads=73,delta_t=0.016500,delta_p=-0.545000,
message=Lowering power,name=syrk,old_threads=73,new_threads=69,delta_t=0.146470,delta_p=-0.982000,
message=Lowering power,name=syrk,old_threads=69,new_threads=60,delta_t=0.084760,delta_p=-0.233000,
message=Lowering power,name=syrk,old_threads=60,new_threads=56,delta_t=-0.093190,delta_p=-0.180000,
message=Lowering power,name=syrk,old_threads=56,new_threads=55,delta_t=0.201650,delta_p=-2.505000,
message=Lowering power,name=syrk,old_threads=55,new_threads=54,delta_t=-0.015130,delta_p=-0.310000,
message=Lowering power,name=syrk,old_threads=54,new_threads=53,delta_t=0.212810,delta_p=-1.320000,
message=Lowering power,name=syrk,old_threads=53,new_threads=51,delta_t=-0.401430,delta_p=-2.733000,
message=Lowering power,name=syrk,old_threads=51,new_threads=50,delta_t=0.011880,delta_p=-0.372000,
message=Lowering power,name=syrk,old_threads=50,new_threads=48,delta_t=0.055580,delta_p=-1.178000,
message=Lowering power,name=syrk,old_threads=48,new_threads=47,delta_t=0.187340,delta_p=-0.900000,
message=Lowering power,name=syrk,old_threads=47,new_threads=46,delta_t=0.077050,delta_p=-0.573000,
message=Lowering power,name=syrk,old_threads=46,new_threads=44,delta_t=-0.070800,delta_p=-1.512000,
message=Lowering power,name=syrk,old_threads=44,new_threads=43,delta_t=-0.077450,delta_p=-1.521000,
message=Lowering power,name=syrk,old_threads=43,new_threads=42,delta_t=0.123890,delta_p=-1.979000,
message=Lowering power,name=syrk,old_threads=42,new_threads=41,delta_t=-0.139750,delta_p=-0.994000,
message=Lowering power,name=syrk,old_threads=41,new_threads=40,delta_t=0.071330,delta_p=-0.063000,
message=Lowering power,name=syrk,old_threads=40,new_threads=39,delta_t=0.117060,delta_p=-1.612000,
message=Lowering power,name=syrk,old_threads=39,new_threads=37,delta_t=0.005650,delta_p=-0.513000,
message=Lowering power,name=syrk,old_threads=37,new_threads=36,delta_t=-0.025500,delta_p=-0.926000,
message=Lowering power,name=syrk,old_threads=36,new_threads=35,delta_t=0.106100,delta_p=-1.405000,
message=Lowering power,name=syrk,old_threads=35,new_threads=34,delta_t=-0.179060,delta_p=-1.967000,
start_task=,name=syrk,tick=3,start_time=3278275.309097,nthreads=34,
end_task=,name=trsm,start_time=1468005455.973285,elapsed_seconds=0.197465,nthreads=11,released_listeners=3,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=19,sum_p=159,
message=Lowering power,name=gemm,old_threads=96,new_threads=93,delta_t=0.004000,delta_p=-1.692000,
message=Lowering power,name=syrk,old_threads=80,new_threads=78,delta_t=0.087580,delta_p=-0.475000,
message=Lowering power,name=syrk,old_threads=78,new_threads=77,delta_t=-0.003720,delta_p=-0.510000,
message=Lowering power,name=syrk,old_threads=77,new_threads=73,delta_t=0.016500,delta_p=-0.545000,
message=Lowering power,name=syrk,old_threads=73,new_threads=69,delta_t=0.146470,delta_p=-0.982000,
message=Lowering power,name=syrk,old_threads=69,new_threads=60,delta_t=0.084760,delta_p=-0.233000,
message=Lowering power,name=syrk,old_threads=60,new_threads=56,delta_t=-0.093190,delta_p=-0.180000,
message=Lowering power,name=syrk,old_threads=56,new_threads=55,delta_t=0.201650,delta_p=-2.505000,
message=Lowering power,name=syrk,old_threads=55,new_threads=54,delta_t=-0.015130,delta_p=-0.310000,
message=Lowering power,name=syrk,old_threads=54,new_threads=53,delta_t=0.212810,delta_p=-1.320000,
message=Lowering power,name=syrk,old_threads=53,new_threads=51,delta_t=-0.401430,delta_p=-2.733000,
message=Lowering power,name=syrk,old_threads=51,new_threads=50,delta_t=0.011880,delta_p=-0.372000,
message=Lowering power,name=syrk,old_threads=50,new_threads=48,delta_t=0.055580,delta_p=-1.178000,
message=Lowering power,name=syrk,old_threads=48,new_threads=47,delta_t=0.187340,delta_p=-0.900000,
message=Lowering power,name=syrk,old_threads=47,new_threads=46,delta_t=0.077050,delta_p=-0.573000,
message=Lowering power,name=syrk,old_threads=46,new_threads=44,delta_t=-0.070800,delta_p=-1.512000,
message=Lowering power,name=syrk,old_threads=44,new_threads=43,delta_t=-0.077450,delta_p=-1.521000,
message=Lowering power,name=syrk,old_threads=43,new_threads=42,delta_t=0.123890,delta_p=-1.979000,
message=Lowering power,name=syrk,old_threads=42,new_threads=41,delta_t=-0.139750,delta_p=-0.994000,
message=Lowering power,name=syrk,old_threads=41,new_threads=40,delta_t=0.071330,delta_p=-0.063000,
message=Lowering power,name=syrk,old_threads=40,new_threads=39,delta_t=0.117060,delta_p=-1.612000,
message=Lowering power,name=syrk,old_threads=39,new_threads=37,delta_t=0.005650,delta_p=-0.513000,
message=Lowering power,name=syrk,old_threads=37,new_threads=36,delta_t=-0.025500,delta_p=-0.926000,
