average_power_W,max_power_W,time_s
127.126761,143.000000,3.568685,
127.873239,146.000000,3.571202,
127.577465,142.000000,3.582457,
127.253333,143.000000,3.765148,
123.285714,141.000000,3.864027,
127.376623,141.000000,3.877412,
125.375000,142.000000,4.035652,
127.240000,144.000000,3.788194,
125.789474,139.000000,3.821796,
124.239437,139.000000,3.564617,
