average_power_W,max_power_W,time_s
128.178808,139.000000,7.578958,
138.567568,156.000000,5.593207,
135.857143,156.000000,5.630011,
137.555556,156.000000,7.235366,
138.544554,160.000000,10.115478,
143.752294,164.000000,5.483760,
140.626087,157.000000,5.771052,
145.426471,161.000000,3.415072,
139.454545,160.000000,6.623014,
147.481013,159.000000,3.992416,
