average_power_W,max_power_W,time_s
139.271845,148.000000,5.178747,
134.248588,144.000000,8.886802,
136.000000,149.000000,8.976834,
140.518519,149.000000,5.449837,
136.415094,155.000000,7.969517,
136.554745,151.000000,6.868396,
138.648810,150.000000,8.416114,
138.942446,152.000000,6.989179,
136.522059,145.000000,6.823642,
138.909091,151.000000,6.064784,
