average_power_W,max_power_W,time_s
126.479452,146.000000,3.663979,
126.044118,141.000000,3.414211,
127.406250,145.000000,3.237075,
126.125000,141.000000,3.216809,
122.371429,135.000000,3.525408,
125.069444,138.000000,3.628375,
126.107692,147.000000,3.287152,
125.042857,137.000000,3.527122,
124.328358,140.000000,3.384225,
126.371795,142.000000,3.913621,
