average_power_W,max_power_W,time_s
125.916667,143.000000,4.239622,
127.531250,157.000000,4.816697,
135.146341,153.000000,4.142448,
128.294737,158.000000,4.785049,
128.788889,156.000000,4.520486,
132.011905,151.000000,4.247496,
129.945652,159.000000,4.619764,
131.144578,153.000000,4.240444,
133.310345,160.000000,4.364425,
135.903226,158.000000,3.133307,
