average_power_W,max_power_W,time_s
136.205882,146.000000,8.538981,
134.391892,152.000000,7.444539,
137.610063,147.000000,7.987698,
132.671429,147.000000,14.018401,
137.645390,148.000000,7.090563,
138.201835,150.000000,5.479776,
136.532468,146.000000,7.733859,
137.134328,147.000000,6.715977,
136.280488,147.000000,8.244494,
137.167939,147.000000,6.590763,
