average_power_W,max_power_W,time_s
136.953846,146.000000,6.516145,
137.492647,147.000000,6.823302,
138.894737,148.000000,6.667260,
137.626016,153.000000,6.193219,
131.522099,141.000000,18.134853,
135.550265,144.000000,9.469688,
135.437500,142.000000,9.641945,
137.050420,145.000000,5.993891,
137.750000,144.000000,6.223710,
134.710938,148.000000,6.447773,
