message=cataloging configuration,power_limit=60,max_threads=228,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=potrf,tick=1,start_time=3278451.209698,nthreads=41,
message=Lowering power,name=syrk,old_threads=10,new_threads=8,delta_t=-0.366000,delta_p=-0.120000,
message=Lowering power,name=gemm,old_threads=17,new_threads=15,delta_t=5.678500,delta_p=-3.917000,
start_task=,name=gemm,tick=5,start_time=3278451.634816,nthreads=15,
start_task=,name=syrk,tick=5,start_time=3278451.634843,nthreads=8,
start_task=,name=gemm,tick=5,start_time=3278451.634874,nthreads=17,
end_task=,name=syrk,start_time=1468005632.204383,elapsed_seconds=0.506251,nthreads=43,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=potrf,tick=6,start_time=3278451.888507,nthreads=41,
end_task=,name=gemm,start_time=1468005632.375161,elapsed_seconds=0.408375,nthreads=27,released_listeners=1,
end_task=,name=gemm,start_time=1468005632.461430,elapsed_seconds=0.449211,nthreads=15,released_listeners=1,
end_task=,name=syrk,start_time=1468005632.375189,elapsed_seconds=0.562838,nthreads=19,released_listeners=1,
end_task=,name=syrk,start_time=1468005632.461465,elapsed_seconds=0.553341,nthreads=8,released_listeners=1,
end_task=,name=potrf,start_time=1468005632.715123,elapsed_seconds=0.329363,nthreads=41,released_listeners=2,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=133,sum_p=183,
message=Lowering power,name=trsm,old_threads=104,new_threads=103,delta_t=0.103460,delta_p=-5.468000,
message=Lowering power,name=trsm,old_threads=106,new_threads=103,delta_t=0.327210,delta_p=-4.864000,
message=Lowering power,name=trsm,old_threads=103,new_threads=90,delta_t=0.931660,delta_p=-0.683000,
message=Lowering power,name=trsm,old_threads=90,new_threads=86,delta_t=-0.502830,delta_p=-1.552000,
message=Lowering power,name=trsm,old_threads=86,new_threads=83,delta_t=-0.198500,delta_p=-4.066000,
message=Lowering power,name=trsm,old_threads=83,new_threads=75,delta_t=-0.151210,delta_p=-0.061000,
message=Lowering power,name=trsm,old_threads=75,new_threads=71,delta_t=0.099850,delta_p=-0.919000,
message=Lowering power,name=trsm,old_threads=71,new_threads=62,delta_t=0.022080,delta_p=-0.116000,
message=Lowering power,name=trsm,old_threads=62,new_threads=60,delta_t=0.658720,delta_p=-2.051000,
message=Lowering power,name=trsm,old_threads=60,new_threads=55,delta_t=0.246260,delta_p=-0.820000,
message=Lowering power,name=trsm,old_threads=55,new_threads=54,delta_t=-0.023810,delta_p=-2.008000,
message=Lowering power,name=trsm,old_threads=54,new_threads=53,delta_t=0.143880,delta_p=-1.589000,
message=Lowering power,name=trsm,old_threads=53,new_threads=50,delta_t=-0.020780,delta_p=-1.481000,
message=Lowering power,name=trsm,old_threads=50,new_threads=47,delta_t=0.205320,delta_p=-0.918000,
message=Lowering power,name=trsm,old_threads=47,new_threads=46,delta_t=0.270310,delta_p=-5.805000,
message=Lowering power,name=trsm,old_threads=46,new_threads=43,delta_t=0.546960,delta_p=-0.700000,
message=Lowering power,name=trsm,old_threads=43,new_threads=41,delta_t=-0.062760,delta_p=-5.372000,
message=Lowering power,name=trsm,old_threads=41,new_threads=37,delta_t=0.642120,delta_p=-1.236000,
message=Lowering power,name=trsm,old_threads=37,new_threads=36,delta_t=0.184710,delta_p=-4.228000,
start_task=,name=trsm,tick=7,start_time=3278452.229722,nthreads=36,
start_task=,name=trsm,tick=7,start_time=3278452.229776,nthreads=103,
end_task=,name=trsm,start_time=1468005633.056336,elapsed_seconds=0.010242,nthreads=36,released_listeners=2,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=57,sum_p=67,
message=Lowering power,name=syrk,old_threads=108,new_threads=107,delta_t=0.008740,delta_p=-2.440000,
message=Lowering power,name=syrk,old_threads=107,new_threads=98,delta_t=-0.157940,delta_p=-0.126000,
message=Lowering power,name=syrk,old_threads=98,new_threads=93,delta_t=0.034540,delta_p=-0.377000,
message=Lowering power,name=syrk,old_threads=93,new_threads=86,delta_t=0.028120,delta_p=-1.806000,
message=Lowering power,name=syrk,old_threads=86,new_threads=78,delta_t=0.084810,delta_p=-0.078000,
message=Lowering power,name=syrk,old_threads=78,new_threads=77,delta_t=-0.003720,delta_p=-0.510000,
message=Lowering power,name=syrk,old_threads=77,new_threads=73,delta_t=0.016500,delta_p=-0.545000,
start_task=,name=syrk,tick=8,start_time=3278452.243853,nthreads=73,
end_task=,name=gemm,start_time=1468005632.461490,elapsed_seconds=0.779163,nthreads=17,released_listeners=0,
end_task=,name=trsm,start_time=1468005633.056393,elapsed_seconds=0.402135,nthreads=103,released_listeners=2,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=110,sum_p=152,
message=Lowering power,name=syrk,old_threads=69,new_threads=60,delta_t=0.084760,delta_p=-0.233000,
message=Lowering power,name=syrk,old_threads=60,new_threads=56,delta_t=-0.093190,delta_p=-0.180000,
message=Lowering power,name=syrk,old_threads=56,new_threads=55,delta_t=0.201650,delta_p=-2.505000,
message=Lowering power,name=syrk,old_threads=55,new_threads=54,delta_t=-0.015130,delta_p=-0.310000,
message=Lowering power,name=syrk,old_threads=54,new_threads=53,delta_t=0.212810,delta_p=-1.320000,
message=Lowering power,name=syrk,old_threads=53,new_threads=51,delta_t=-0.401430,delta_p=-2.733000,
message=Lowering power,name=syrk,old_threads=51,new_threads=50,delta_t=0.011880,delta_p=-0.372000,
message=Lowering power,name=syrk,old_threads=50,new_threads=48,delta_t=0.055580,delta_p=-1.178000,
message=Lowering power,name=syrk,old_threads=48,new_threads=47,delta_t=0.187340,delta_p=-0.900000,
message=Lowering power,name=syrk,old_threads=47,new_threads=46,delta_t=0.077050,delta_p=-0.573000,
message=Lowering power,name=syrk,old_threads=46,new_threads=44,delta_t=-0.070800,delta_p=-1.512000,
message=Lowering power,name=syrk,old_threads=44,new_threads=43,delta_t=-0.077450,delta_p=-1.521000,
message=Lowering power,name=syrk,old_threads=43,new_threads=42,delta_t=0.123890,delta_p=-1.979000,
message=Lowering power,name=syrk,old_threads=42,new_threads=41,delta_t=-0.139750,delta_p=-0.994000,
message=Lowering power,name=syrk,old_threads=41,new_threads=40,delta_t=0.071330,delta_p=-0.063000,
message=Lowering power,name=syrk,old_threads=40,new_threads=39,delta_t=0.117060,delta_p=-1.612000,
message=Lowering power,name=syrk,old_threads=39,new_threads=37,delta_t=0.005650,delta_p=-0.513000,
message=Lowering power,name=syrk,old_threads=37,new_threads=36,delta_t=-0.025500,delta_p=-0.926000,
message=Lowering power,name=syrk,old_threads=36,new_threads=35,delta_t=0.106100,delta_p=-1.405000,
message=Lowering power,name=syrk,old_threads=35,new_threads=34,delta_t=-0.179060,delta_p=-1.967000,
