power,speedup,nthreads
110.026,1.0,1
111.785,2.02421,2
112.899,3.07873,3
114.241,4.11708,4
115.84,5.0944,5
116.774,6.10318,6
117.673,7.11675,7
118.972,7.8989,8
119.714,8.89091,9
120.967,10.1728,10
121.686,11.2239,11
122.352,12.2425,12
123.526,13.2382,13
125.195,14.0093,14
125.677,15.2521,15
126.404,16.0905,16
126.6,16.8465,17
127.776,20.3039,20
129.174,21.2417,21
130.163,22.3785,22
131.852,24.5922,25
131.894,26.2848,26
133.448,26.548,27
135.549,28.2815,28
136.147,32.8035,33
137.567,33.7483,34
139.101,34.8381,35
139.858,35.1902,36
141.315,36.7166,37
142.542,38.5029,38
144.339,39.3452,39
145.046,40.796,40
145.205,41.0855,41
145.748,43.0595,43
146.061,43.9654,44
148.317,45.9755,46
149.092,47.0991,47
149.125,122.0,201
151.153,123.08,202
151.811,128.622,200
