nthreads,energy,time
54,633.2,4.84077
55,616.95,4.69048
56,612.8,4.63462
57,617.35,4.70655
58,609.05,4.63146
59,585.25,4.4517
60,573.65,4.34189
61,565.7,4.28496
62,570.8,4.32921
63,557.95,4.23842
64,549.4,4.19008
65,547.1,4.15362
66,531.5,4.06055
67,512.65,3.8984
68,513.3,3.88499
69,508.65,3.8331
70,514.75,3.8936
71,490,3.69393
72,488.3,3.70603
73,493.5,3.74283
74,487.4,3.69369
75,475.2,3.5825
76,463.25,3.50291
77,464.05,3.48168
78,475,3.57964
79,450.75,3.39843
80,443.4,3.34552
81,449.85,3.38861
82,438.15,3.28116
83,430.45,3.24446
84,429.55,3.23323
85,422.05,3.19319
86,416.6,3.13316
87,427.8,3.23451
88,410.55,3.10647
89,411,3.08955
90,396.65,2.99783
91,399.6,2.97539
92,396.15,2.99821
93,389.25,2.96121
94,385.15,2.90182
95,384.6,2.88886
96,387.7,2.92635
97,375.75,2.83329
98,370.75,2.85805
99,358.65,2.73071
100,356.75,2.72833
101,362.95,2.78158
102,364.4,2.7749
103,367.45,2.77928
104,367.8,2.78112
105,369.95,2.82667
106,363.4,2.77818
107,374.2,2.78198
108,372.95,2.77403
109,367.7,2.77361
110,364.35,2.77333
111,367.95,2.78034
112,371.7,2.77268
113,368.9,2.82609
114,365.55,2.77988
115,376.8,2.826
116,376.8,2.82653
117,372.65,2.78282
118,371.45,2.78025
119,371.2,2.8311
120,379.45,2.82496
121,371.7,2.82662
122,371.1,2.83239
123,380.45,2.82879
124,381.6,2.8245
125,370.25,2.8246
126,374.6,2.82997
127,376.05,2.83095
128,380.85,2.82397
129,371.1,2.82469
130,375.6,2.82289
131,375.6,2.82891
132,376.2,2.83218
133,357.35,2.67575
134,344.95,2.63886
135,330.35,2.50742
136,334,2.55803
137,330.65,2.51347
138,340,2.57774
139,344.05,2.59543
140,335.8,2.52888
141,330,2.48134
142,323.55,2.46341
143,342.15,2.61558
144,322.2,2.46384
145,334.75,2.53255
146,316.45,2.41044
147,325.45,2.4452
148,330.7,2.48277
149,332.5,2.5586
150,326.75,2.48501
151,320.35,2.42384
152,332.3,2.53717
153,309.75,2.34337
154,321.7,2.43933
155,316.9,2.38704
156,312.25,2.32234
157,315.1,2.40691
158,323.95,2.43377
159,313.75,2.4072
160,309.8,2.32811
161,323.1,2.4345
162,304.6,2.29581
163,314.35,2.3879
164,311.15,2.32288
165,307.3,2.33196
166,304.4,2.35465
167,296.3,2.31366
168,310.55,2.3296
169,316.4,2.3921
170,309.5,2.33135
171,302.15,2.31068
