power,speedup,nthreads
102.197,1.0,1
103.705,2.02244,2
105.119,2.95033,3
105.788,4.0508,4
106.973,4.98532,5
108.064,6.1049,6
108.878,7.05316,7
109.372,7.8985,8
110.001,8.85353,9
110.77,9.85112,10
111.64,11.0607,11
112.427,12.094,12
113.01,12.9665,13
114.127,14.0763,14
114.808,14.9759,15
115.305,16.186,16
115.499,17.1529,17
116.357,18.2335,18
117.139,19.251,19
118.029,20.2688,20
118.462,20.985,21
118.8,22.0704,22
119.687,22.412,23
120.79,23.8029,24
121.292,25.1509,25
122.019,25.8502,26
123.06,27.2301,27
123.69,28.0373,28
124.317,30.375,30
124.534,30.6328,31
124.983,31.8631,32
125.074,32.7311,33
125.762,33.7604,34
127.115,34.4533,35
127.489,35.9448,36
128.317,36.3686,37
128.714,38.0546,38
129.059,39.6099,39
129.392,39.9584,40
130.405,41.4269,42
132.181,43.0066,43
133.221,44.2302,44
133.315,44.9176,45
134.077,45.8977,46
134.151,47.6873,48
134.987,49.2791,50
135.073,125.727,201
