power,speedup,nthreads
98.7376,1.0,1
100.243,2.00435,2
100.652,2.92346,3
101.629,3.94925,4
102.267,4.85455,5
102.556,5.9355,6
103.375,6.99061,7
104.629,7.85412,8
104.823,8.77509,9
105.609,10.0536,10
105.851,11.0649,11
107.383,11.9142,12
107.934,13.0778,13
108.432,13.9388,14
109.272,15.0632,15
109.622,16.0634,16
109.727,16.8454,17
110.592,17.8148,18
111.211,18.7741,19
111.752,20.047,20
112.184,21.0323,21
112.87,22.0203,22
114.088,23.0389,23
114.392,23.3404,24
115.092,24.98,25
115.618,25.2353,26
116.371,26.9576,27
116.884,27.9363,28
117.414,28.9303,29
118.159,30.1553,30
118.213,30.3487,31
118.623,31.2616,32
119.389,32.8434,33
119.811,33.2744,34
120.954,33.929,35
121.424,35.6617,36
122.577,37.6795,39
122.596,37.7263,38
123.498,38.8956,40
123.858,39.4685,41
124.108,40.4555,42
124.141,41.6293,43
125.321,42.7663,44
126.436,44.3181,45
126.506,44.956,46
126.863,47.0004,49
127.301,115.332,200
127.838,115.489,199
129.605,115.77,224
129.654,116.14,196
129.661,116.846,198
