power,speedup,nthreads
100.565,1.0,1
101.426,1.97468,2
102.154,2.98755,3
102.487,3.83603,4
103.174,4.80834,5
104.5,5.79891,6
105.256,7.03857,7
105.609,7.81274,8
106.423,8.82916,9
106.678,9.97448,10
108.372,10.9364,11
109.209,12.0203,12
109.421,13.0336,13
109.95,13.7638,14
110.88,14.702,15
111.553,16.0046,16
112.156,16.5896,17
112.609,17.7732,18
113.185,18.5618,19
114.279,19.7,20
115.175,20.908,21
115.352,21.9602,22
116.111,22.9496,23
116.468,23.2549,25
116.492,23.7335,24
117.623,25.0212,26
118.102,26.7979,27
118.724,27.1162,28
119.525,28.7925,29
121.086,29.5547,30
121.393,30.6976,31
121.574,31.2695,32
121.86,32.7678,33
122.26,33.9485,34
122.768,34.2587,35
123.868,35.7536,36
124.153,36.6537,37
124.512,37.7561,38
124.624,38.0001,39
125.524,39.3575,40
126.373,40.3991,41
126.633,40.6308,42
127.485,41.834,43
128.007,43.7035,44
128.819,45.3112,46
129.813,114.824,202
130.835,115.728,199
131.239,118.528,201
132.246,118.846,200
133.507,120.438,225
