power,speedup,nthreads
107.939,1.0,1
109.911,2.03942,2
110.768,3.09284,3
111.761,4.12206,4
112.731,5.12101,5
113.087,6.09709,6
115.232,7.21342,7
115.633,8.00879,8
116.844,9.25601,9
117.926,10.2934,10
118.457,11.3097,11
119.323,12.0925,12
120.48,12.9253,13
121.249,13.9138,14
122.534,14.8847,15
122.842,16.1958,16
123.429,17.3784,17
125.062,18.428,18
125.849,19.7478,20
126.72,21.4876,21
127.391,21.7692,22
128.125,23.2725,23
128.371,24.0021,24
130.164,24.9363,25
130.182,26.2875,28
130.873,29.214,29
132.694,30.2344,30
133.705,31.633,31
133.982,32.4582,32
134.586,32.4659,33
135.421,35.5922,36
137.098,37.2277,37
137.475,37.5266,38
138.514,38.6866,39
140.566,40.5134,41
140.594,40.9771,40
141.545,42.4093,42
142.185,43.1966,43
143.031,43.6144,44
143.978,47.6825,47
144.561,49.7559,50
144.875,124.849,200
