Pareto for potrf
61	0.0466418	68.2061
59	0.0474245	66.9939
48	0.0488872	59.3879
49	0.0502652	59.2861
45	0.0506298	56.9894
44	0.0529888	55.8879
31	0.0590608	42.4472
25	0.0605013	37.398
23	0.0620933	36.6909
20	0.0628708	35.1909
16	0.0737477	30.5154
13	0.0853723	28.8551
12	0.0856078	27.701
14	0.0870778	27.153
11	0.106711	26.7894
9	0.107711	20.9035
7	0.169701	18.6802
4	0.188806	17.9912
3	0.308452	16.0765
2	0.323819	13.5057
0	inf	0
Pareto for trsm
78	0.0264317	88.08
66	0.0268648	86.5521
52	0.0270022	79.2121
50	0.0277495	77.8721
44	0.0279243	70.7255
42	0.0306946	66.8679
43	0.0317511	66.4715
38	0.0320109	62.3145
36	0.032689	60.1624
34	0.0335107	58.1782
33	0.0344719	57.203
30	0.034502	53.9497
28	0.0359832	52.877
29	0.0362667	52.7141
24	0.0386575	47.5636
25	0.0392003	46.5913
22	0.0419203	44.8876
23	0.0429633	44.7957
20	0.0451043	42.4561
21	0.0457276	41.5055
19	0.049787	39.1242
18	0.0502004	38.5914
16	0.0515207	37.2793
17	0.0527715	37.1662
15	0.0558237	35.1612
14	0.0584927	32.9177
13	0.0630773	31.7388
11	0.072268	28.7354
8	0.0859672	27.0101
9	0.0861037	26.8854
7	0.101285	23.5455
6	0.11111	21.7682
5	0.135833	19.9672
4	0.16351	17.4248
2	0.29297	13.5702
1	0.569669	13.4717
0	inf	0
Pareto for syrk
92	0.0388243	91.9509
91	0.0390247	90.9121
94	0.0396623	90.7242
90	0.0396823	90.702
93	0.0398165	89.5794
89	0.0401175	89.2623
84	0.0403429	89.0143
76	0.0407637	87.7645
86	0.0411587	87.4403
78	0.0412565	87.0687
83	0.0416963	86.8515
77	0.0421223	86.3242
60	0.0424949	84.3813
62	0.0427171	83.7489
61	0.0430195	83.0773
65	0.0432874	83.0742
59	0.0483335	71.8126
48	0.0483705	64.2859
44	0.0487827	61.0571
45	0.0492509	60.2575
41	0.0510757	56.254
36	0.0524079	52.2813
32	0.0537923	48.9606
34	0.0542807	48.703
28	0.0629057	44.3712
29	0.0635274	43.7677
24	0.0656008	38.9217
23	0.0719603	35.5952
21	0.0732119	35.1202
22	0.0734875	34.6333
20	0.0739022	34.2494
19	0.0786166	31.7818
18	0.0787295	30.9667
17	0.0803129	30.096
15	0.108289	26.1333
13	0.112001	25.5631
12	0.113015	25.0217
11	0.146136	21.053
10	0.149228	21.0476
9	0.152565	20.2115
7	0.25658	15.0434
5	0.269296	14.9233
3	0.764859	12.8178
2	0.782142	12.0119
1	0.833912	11.5539
0	inf	0
Pareto for gemm
91	0.0349148	95.0991
89	0.0351405	94.4036
84	0.0360745	93.6164
76	0.0361508	92.2909
80	0.0365451	92.2734
78	0.0367245	91.0886
83	0.0369299	90.5136
77	0.0376609	89.53
60	0.0380607	87.6964
62	0.0386469	87.1449
63	0.038909	86.774
69	0.039647	86.599
58	0.039689	85.1567
57	0.0397673	84.9136
56	0.0400973	83.4059
55	0.0416649	79.1867
53	0.0420803	78.4678
52	0.0421309	78.2712
50	0.0422872	75.5129
48	0.0423487	74.6355
44	0.0435784	70.8636
45	0.0447871	70.1764
43	0.0491886	64.5614
41	0.049612	64.5505
40	0.0499708	63.7753
36	0.052776	59.9867
38	0.0530088	59.2015
37	0.0535253	57.9261
32	0.0570734	55.5125
100	0.0574853	53.317
98	0.0578472	52.6303
102	0.0588502	52.2288
104	0.058869	51.5954
101	0.0592353	50.442
106	0.0595315	49.9939
107	0.0615002	49.7549
30	0.0663009	49.7373
24	0.0695322	44.0341
23	0.0840162	39.5239
21	0.0854759	38.4601
20	0.0869279	37.9883
19	0.0987515	33.7053
17	0.0995532	33.4417
15	0.126512	29.0782
14	0.13005	27.7475
13	0.131272	26.4019
11	0.191029	21.8614
10	0.192113	21.7792
9	0.194402	21.224
6	0.354704	15.5721
7	0.358185	14.8629
4	0.386206	14.3294
2	0.523133	12.9759
1	0.957383	11.8921
0	inf	0
